21546
Epoch Loss AUC_dev AUC_test Precision Recall
1 3644.7902641613036 0.9006951649719859 0.8864906043676994 0.7843137254901961 0.8938547486033519
2 1787.1234293272719 0.9390848723801617 0.9248137802607076 0.9452554744525548 0.723463687150838
3 1455.1354251314187 0.9561319775887114 0.945266209581852 0.8556962025316456 0.9441340782122905
4 1105.5622547612584 0.9633118904337 0.9599944980531573 0.9235127478753541 0.9106145251396648
5 695.9437071889406 0.9670782319983399 0.9662688335872693 0.9211956521739131 0.946927374301676
6 589.6138806338422 0.9731064536210832 0.9719294904350769 0.9353932584269663 0.9301675977653632
7 516.1033391272649 0.9759701182818012 0.9732309124767227 0.9640718562874252 0.8994413407821229
8 488.5919262378011 0.9688005810334094 0.9680146436431353 0.9682539682539683 0.8519553072625698
9 423.0013016310695 0.9757626063498651 0.9744794311833419 0.9342465753424658 0.952513966480447
10 286.6873879840132 0.9689977173687487 0.9772833079397325 0.9264305177111717 0.9497206703910615
11 231.47529875143664 0.9759078647022204 0.9775055019468427 0.9439775910364145 0.9413407821229051
12 235.2899826298235 0.9730960780244864 0.9739927205011004 0.9249329758713136 0.9636871508379888
13 204.7163836171967 0.974756173479975 0.9750507872016252 0.9570200573065902 0.9329608938547486
14 209.34547124477103 0.9767586636231583 0.9769764685965803 0.9671641791044776 0.9050279329608939
15 144.55867470463272 0.9753735214774849 0.9757914338919926 0.9517045454545454 0.9357541899441341
16 116.45266499463469 0.9756017846026146 0.9773573726087692 0.9602272727272727 0.9441340782122905
17 115.26376439270098 0.9732205851836481 0.9766378872524124 0.9650145772594753 0.9245810055865922
18 103.54490050207824 0.9735889188628346 0.9769341459285594 0.9544159544159544 0.9357541899441341
19 111.23375470709288 0.9712699730234488 0.9748391738615202 0.9444444444444444 0.9497206703910615
20 72.92218431271613 0.9727484955384934 0.976320467242255 0.9542857142857143 0.9329608938547486
21 68.07835641934071 0.971285536418344 0.9760030472320975 0.9545454545454546 0.9385474860335196
22 63.91093913640361 0.9725565470014526 0.9765320805823599 0.9653179190751445 0.9329608938547486
23 61.13826507754857 0.9711973438472712 0.9762993059082444 0.9626436781609196 0.9357541899441341
24 57.73395979893394 0.9685567545133845 0.9733472998137802 0.9491525423728814 0.9385474860335196
25 46.3235400718404 0.9700508404233243 0.9758337565600136 0.9597701149425287 0.9329608938547486
26 42.385956067591906 0.9691896659057896 0.975336465210767 0.9568965517241379 0.9301675977653632
27 43.06860166741535 0.9688835858061838 0.9749026578635518 0.9594202898550724 0.9245810055865922
28 39.03156145568937 0.9687123884623365 0.9753153038767565 0.9596541786743515 0.9301675977653632
29 40.15992973931134 0.9656827142560698 0.9738551718300322 0.9517045454545454 0.9357541899441341
30 31.412195967277512 0.9679497821124715 0.9747174961909599 0.9595375722543352 0.9273743016759777
31 33.16688191285357 0.9679082797260842 0.974574657186389 0.9595375722543352 0.9273743016759777
32 31.05854724906385 0.9670989831915335 0.9741620111731844 0.9540229885057471 0.9273743016759777
33 30.422019321471453 0.9679549699107698 0.9741620111731844 0.9590643274853801 0.9162011173184358
34 29.77195303235203 0.9661963062876116 0.9744053665143051 0.9541547277936963 0.9301675977653632
35 27.700874634087086 0.9676073874247769 0.9744000761808023 0.9595375722543352 0.9273743016759777
36 27.157669656910002 0.9676177630213736 0.9742466565092263 0.9595375722543352 0.9273743016759777
