SIRT3,4jt9,1,jt/pdb4jt9.ent
DHODH,4jts,1,jt/pdb4jts.ent
AKR1C2,4jtq,1,jt/pdb4jtq.ent
TTK,4jt3,1,jt/pdb4jt3.ent
TNKS,5jti,1,jt/pdb5jti.ent
MMP3,2jt5,1,jt/pdb2jt5.ent
MTOR,4jt6,1,jt/pdb4jt6.ent
F10,5jtc,2,jt/pdb5jtc.ent
NMT1,3jtk,1,jt/pdb3jtk.ent
MIF,3jtu,1,jt/pdb3jtu.ent
BRAF,5jt2,1,jt/pdb5jt2.ent
TTR,2qgc,1,qg/pdb2qgc.ent
ITK,3qgy,1,qg/pdb3qgy.ent
PKM,4qg9,1,qg/pdb4qg9.ent
F2,3qgn,1,qg/pdb3qgn.ent
ESR1,2qgt,1,qg/pdb2qgt.ent
BRD4,5uet,1,ue/pdb5uet.ent
CYP2B6,5uec,1,ue/pdb5uec.ent
BIRC5,3ueg,1,ue/pdb3ueg.ent
AADAT,3ue8,1,ue/pdb3ue8.ent
ABL1,3ue4,1,ue/pdb3ue4.ent
MMP7,5ue5,1,ue/pdb5ue5.ent
MMP9,5ue4,1,ue/pdb5ue4.ent
BRD2,5uew,1,ue/pdb5uew.ent
GAA,5nn4,1,nn/pdb5nn4.ent
FABP4,2nnq,1,nn/pdb2nnq.ent
PLK1,5nn1,1,nn/pdb5nn1.ent
CA1,2nn7,1,nn/pdb2nn7.ent
CYP2C8,2nnh,1,nn/pdb2nnh.ent
CA2,2nno,1,nn/pdb2nno.ent
MAPK14,3nnx,1,nn/pdb3nnx.ent
PTPN1,1nny,1,nn/pdb1nny.ent
HLA-A,4nny,1,nn/pdb4nny.ent
BCHE,5nn0,1,nn/pdb5nn0.ent
MAPK1,4qp6,1,qp/pdb4qp6.ent
JAK3,4qps,1,qp/pdb4qps.ent
LCK,1qpc,1,qp/pdb1qpc.ent
BACE1,2qp8,1,qp/pdb2qp8.ent
MME,2qpj,1,qp/pdb2qpj.ent
FDPS,4qpf,1,qp/pdb4qpf.ent
BAZ2B,5l8u,1,l8/pdb5l8u.ent
AURKA,5l8k,1,l8/pdb5l8k.ent
CREBBP,2l85,1,l8/pdb2l85.ent
TEK,3l8p,1,l8/pdb3l8p.ent
MET,3l8v,1,l8/pdb3l8v.ent
HRAS,3l8z,1,l8/pdb3l8z.ent
HSP90AA1,4l8z,1,l8/pdb4l8z.ent
SMPD1,5i8r,1,i8/pdb5i8r.ent
MEN1,4i80,1,i8/pdb4i80.ent
PDE4A,3i8v,1,i8/pdb3i8v.ent
CYP1A1,4i8v,1,i8/pdb4i8v.ent
NTRK1,5i8a,1,i8/pdb5i8a.ent
PLA2G7,5i8p,1,i8/pdb5i8p.ent
IGF1R,3i81,1,i8/pdb3i81.ent
EGFR,5jeb,1,je/pdb5jeb.ent
PTPN11,4jeg,1,je/pdb4jeg.ent
TYMS,4jef,1,je/pdb4jef.ent
NQO2,3uxh,1,ux/pdb3uxh.ent
DOT1L,5dtm,1,dt/pdb5dtm.ent
DPP4,4dtc,1,dt/pdb4dtc.ent
KDR,3dtw,1,dt/pdb3dtw.ent
IDE,4dtt,1,dt/pdb4dtt.ent
EIF4E,4dt6,1,dt/pdb4dt6.ent
HSD17B1,6dtp,1,dt/pdb6dtp.ent
MAP3K9,3dtc,1,dt/pdb3dtc.ent
PIM1,4dtk,1,dt/pdb4dtk.ent
PRNP,5l6r,1,l6/pdb5l6r.ent
PAK4,4l67,1,l6/pdb4l67.ent
PDGFRB,2l6w,1,l6/pdb2l6w.ent
GSTP1,5l6x,1,l6/pdb5l6x.ent
ROCK2,4l6q,1,l6/pdb4l6q.ent
EPHB3,5l6o,1,l6/pdb5l6o.ent
HLA-DRB1,3l6f,2,l6/pdb3l6f.ent
PARP1,4l6s,1,l6/pdb4l6s.ent
LIMK1,5l6w,1,l6/pdb5l6w.ent
REN,3vyf,1,vy/pdb3vyf.ent
F9,5vyg,1,vy/pdb5vyg.ent
MKNK2,6cjw,1,cj/pdb6cjw.ent
AGER,3cjj,1,cj/pdb3cjj.ent
AR,5cj6,1,cj/pdb5cj6.ent
CASP3,2cjx,1,cj/pdb2cjx.ent
CA14,5cjf,1,cj/pdb5cjf.ent
WDR5,4gm9,1,gm/pdb4gm9.ent
JAK2,4gmy,1,gm/pdb4gmy.ent
MAPK8,2gmx,1,gm/pdb2gmx.ent
CSNK2A1,6gmd,1,gm/pdb6gmd.ent
PCK1,2gmv,1,gm/pdb2gmv.ent
SMN1,5mf9,2,mf/pdb5mf9.ent
INSR,2mfr,1,mf/pdb2mfr.ent
PDE5A,3mf0,1,mf/pdb3mf0.ent
TP53,5mf7,1,mf/pdb5mf7.ent
MPO,5mfa,1,mf/pdb5mfa.ent
POLB,4mfa,1,mf/pdb4mfa.ent
GRIK1,4mf3,1,mf/pdb4mf3.ent
POLH,3mr3,1,mr/pdb3mr3.ent
AKT2,1mrv,1,mr/pdb1mrv.ent
TARDBP,5mrg,1,mr/pdb5mrg.ent
FYN,2mrj,1,mr/pdb2mrj.ent
MAOB,5mrl,1,mr/pdb5mrl.ent
GCKR,4mro,1,mr/pdb4mro.ent
PDPK1,5mrd,1,mr/pdb5mrd.ent
PDE10A,4mrz,1,mr/pdb4mrz.ent
SORT1,5mrh,1,mr/pdb5mrh.ent
S100A4,2mrd,1,mr/pdb2mrd.ent
GBA,2nt1,1,nt/pdb2nt1.ent
YARS,1ntg,1,nt/pdb1ntg.ent
RORC,5ntk,1,nt/pdb5ntk.ent
TNKS2,5nt4,1,nt/pdb5nt4.ent
PIN1,3ntp,1,nt/pdb3ntp.ent
DHFR,3ntz,1,nt/pdb3ntz.ent
RAC1,3sbd,1,sb/pdb3sbd.ent
MMP13,5uwk,1,uw/pdb5uwk.ent
CDC7,5uwq,4,uw/pdb5uwq.ent
L3MBTL1,3uwn,1,uw/pdb3uwn.ent
XIAP,3uw5,1,uw/pdb3uw5.ent
HDAC5,5uwi,4,uw/pdb5uwi.ent
AKR1C3,3uwe,1,uw/pdb3uwe.ent
BIRC2,3uw4,1,uw/pdb3uw4.ent
PPARG,3r5n,1,r5/pdb3r5n.ent
RXRA,3r5m,1,r5/pdb3r5m.ent
CASP7,3r5k,1,r5/pdb3r5k.ent
CASP2,3r5j,1,r5/pdb3r5j.ent
PRSS8,3gyl,1,gy/pdb3gyl.ent
PDE4B,3kkt,1,kk/pdb3kkt.ent
ACACB,5kkn,1,kk/pdb5kkn.ent
APP,5kk3,1,kk/pdb5kk3.ent
ROCK1,5kks,1,kk/pdb5kks.ent
FER,2kk6,1,kk/pdb2kk6.ent
MAPK10,4kkh,1,kk/pdb4kkh.ent
ABL2,2kk1,1,kk/pdb2kk1.ent
SNCA,2kkw,1,kk/pdb2kkw.ent
EPHA1,3kka,1,kk/pdb3kka.ent
EPHA2,3kka,2,kk/pdb3kka.ent
KMT2A,2kkf,1,kk/pdb2kkf.ent
ALB,4z69,1,z6/pdb4z69.ent
F7,4z6a,1,z6/pdb4z6a.ent
F3,4z6a,3,z6/pdb4z6a.ent
TPH1,5tpg,1,tp/pdb5tpg.ent
LIMK2,4tpt,1,tp/pdb4tpt.ent
GRIN1,5tpa,2,tp/pdb5tpa.ent
NOS2,5tp6,2,tp/pdb5tp6.ent
CFTR,2pzg,1,pz/pdb2pzg.ent
EP300,4pzt,1,pz/pdb4pzt.ent
FGFR2,2pz5,1,pz/pdb2pz5.ent
MAPKAPK2,2pzy,1,pz/pdb2pzy.ent
HNF4A,1pzl,1,pz/pdb1pzl.ent
POLK,3pzp,1,pz/pdb3pzp.ent
PLG,2doi,1,do/pdb2doi.ent
NR5A2,4dos,1,do/pdb4dos.ent
CDK2,3dog,1,do/pdb3dog.ent
RGS8,5do9,2,do/pdb5do9.ent
EPHX2,4y2x,1,y2/pdb4y2x.ent
PDE4D,1y2b,1,y2/pdb1y2b.ent
PDE7A,4y2b,1,y2/pdb4y2b.ent
HBB,1y2z,2,y2/pdb1y2z.ent
BRCA1,4y2g,1,y2/pdb4y2g.ent
HSD11B1,2rbe,1,rb/pdb2rbe.ent
FOLH1,3rbu,1,rb/pdb3rbu.ent
HCK,3rbb,2,rb/pdb3rbb.ent
F11,1zrk,1,zr/pdb1zrk.ent
PRKCI,1zrz,1,zr/pdb1zrz.ent
LATS2,4zri,2,zr/pdb4zri.ent
LTA4H,1sqm,1,sq/pdb1sqm.ent
PLAU,1sqa,1,sq/pdb1sqa.ent
NOS1,5uo1,1,uo/pdb5uo1.ent
NOS3,5uo8,1,uo/pdb5uo8.ent
MAP3K5,5uox,1,uo/pdb5uox.ent
GLS,3uo9,1,uo/pdb3uo9.ent
HDAC6,5kh9,1,kh/pdb5kh9.ent
JAK1,5khw,1,kh/pdb5khw.ent
CDK6,3nux,1,nu/pdb3nux.ent
THRB,1nuo,1,nu/pdb1nuo.ent
RPS6KA3,4nus,1,nu/pdb4nus.ent
HPRT1,6bnj,1,bn/pdb6bnj.ent
ITGAL,3bn3,1,bn/pdb3bn3.ent
TBK1,6bny,1,bn/pdb6bny.ent
CDK8,5bnj,1,bn/pdb5bnj.ent
ST14,3bn9,1,bn/pdb3bn9.ent
NR1I2,6bns,1,bn/pdb6bns.ent
CASP8,4zbw,1,zb/pdb4zbw.ent
MCL1,4zbi,1,zb/pdb4zbi.ent
