,Unnamed: 0,id,chain_id,db,seq_db_acc,fp,gene,species
222007,222007,2B42,A,GB,23954367,/home/cc/rawchem/pdb/ftp.wwpdb.org/pub/pdb/data/structures/divided/pdb/b4/pdb2b42.ent,CAD27730,
222008,222008,2B42,B,UNP,P18429,/home/cc/rawchem/pdb/ftp.wwpdb.org/pub/pdb/data/structures/divided/pdb/b4/pdb2b42.ent,XYNA,BACSU
